x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0.4856027,0.3110085,-0.2325561,0.9999889,0.4864038,0.29666406,-0.19251509,0.99998033,0.48693234,0.2967468,-0.19251509,0.99997413,0.48743454,0.29681146,-0.19278027,0.99996674,0.47937387,0.2940465,-0.24528438,0.99998605,0.47453058,0.29226226,-0.24568214,0.99998546,0.4691442,0.2906087,-0.24541695,0.99998415,0.4668011,0.2949459,0.009728509,0.99995995,0.4433893,0.28892455,-0.22857851,0.999985,0.47564855,0.32449222,-0.15114821,0.9999286,0.46607554,0.32081485,-0.22035818,0.9999546,0.42277628,0.36450055,0.25257662,0.9998511,0.38967258,0.34976327,-0.34154192,0.9999745,0.41086158,0.46751186,0.34154192,0.9996947,0.3951797,0.45276406,-0.4584829,0.99987566,0.44134018,0.5500047,0.22128628,0.9994116,0.4543587,0.5322207,-0.5258367,0.99974483,0.44469416,0.57560503,0.21757388,0.9989759,0.45959568,0.558196,-0.5839094,0.9995253,0.4584433,0.572905,0.16785407,0.999049,0.47197977,0.5567918,-0.5775453,0.9995505,0.45105,0.5641419,0.19490165,0.9992022,0.46939385,0.5469639,-0.5218591,0.9996215,0.42146674,0.5611206,0.18920045,0.99962735,0.411427,0.5613086,-0.18893526,0.99974686,0.42166767,0.70169735,0.21571767,0.99957937,0.44100943,0.71219367,-0.15857303,0.9996947,0.34366065,0.831494,0.33464745,0.99955755,0.41738102,0.8770287,-0.10891952,0.9990564,0.31646204,0.8498657,0.34048125,0.9990415,0.389245,0.90484333,-0.10998021,0.99818975,0.40077507,0.86408347,0.27127126,0.9987696,0.5030956,0.9156932,-0.25151592,0.9970305
0.48191774,0.31524202,-0.17077838,0.9999577,0.48224682,0.29973185,-0.13809857,0.9999318,0.4818522,0.2993759,-0.13783503,0.99991775,0.4812261,0.29894084,-0.13757147,0.99990237,0.47647476,0.29792607,-0.1944976,0.99994814,0.47188547,0.2960833,-0.19410229,0.99994934,0.46696964,0.29414925,-0.1944976,0.99994695,0.45673403,0.2962026,0.030900873,0.99989283,0.44122347,0.2913019,-0.22427839,0.9999535,0.46893713,0.3270654,-0.10087257,0.99983525,0.46280703,0.32380044,-0.17512691,0.99988675,0.41211817,0.3655678,0.24878825,0.9997749,0.38156274,0.35222164,-0.34867254,0.99996173,0.4107763,0.46820843,0.33734,0.9995308,0.39009476,0.4544411,-0.4667415,0.99980444,0.4398451,0.5481304,0.22849515,0.99923277,0.452463,0.53198975,-0.5168154,0.99966204,0.45106336,0.57309556,0.22427839,0.998784,0.4636819,0.5578925,-0.5740051,0.9994185,0.45714033,0.571889,0.17473158,0.9988752,0.47433355,0.55527526,-0.5660987,0.9994429,0.4554542,0.5613202,0.2020087,0.99899954,0.46917725,0.5452336,-0.5110174,0.9995216,0.41830388,0.5647595,0.18553701,0.99924755,0.4092606,0.56622034,-0.18540524,0.9995327,0.40988055,0.70584154,0.22533257,0.9993013,0.4343559,0.7168045,-0.14679562,0.99949265,0.31977245,0.83361435,0.36184987,0.9991991,0.41836426,0.8806565,-0.07082822,0.9987306,0.2835011,0.8535872,0.36949274,0.99832565,0.3920743,0.9095153,-0.0689834,0.99770385,0.3836126,0.8679624,0.29701734,0.9981614,0.5024665,0.9178267,-0.20899267,0.9965837
0.4774822,0.31477705,-0.1766272,0.99995124,0.4773691,0.29992515,-0.140957,0.99992514,0.47740257,0.2997443,-0.1412222,0.9999083,0.4771582,0.29940242,-0.140957,0.9998876,0.4709357,0.29790178,-0.19757847,0.9999443,0.46594608,0.29617807,-0.19784369,0.99994695,0.46039385,0.2944458,-0.19757847,0.999944,0.452399,0.29776183,0.03494089,0.9998795,0.4349865,0.2933617,-0.21985579,0.99995387,0.4660164,0.3277706,-0.10422596,0.99980587,0.45815474,0.32490385,-0.17835104,0.9998776,0.40837848,0.36877963,0.25459775,0.9997086,0.37769657,0.35759282,-0.34264615,0.99995935,0.40649605,0.47299945,0.33575082,0.99939287,0.38738334,0.45943555,-0.4733927,0.9997677,0.43768382,0.55360866,0.21839714,0.9990073,0.45355898,0.5351187,-0.5431419,0.99961996,0.44961664,0.5771337,0.21441905,0.99854493,0.46367645,0.56022495,-0.6030785,0.99939525,0.4560636,0.5748593,0.16522335,0.9986594,0.47453213,0.5572549,-0.59459186,0.9994093,0.45360124,0.56517774,0.19214176,0.9987649,0.46876082,0.5477428,-0.5386334,0.99948263,0.41599867,0.5683108,0.18736805,0.9992649,0.4095999,0.5692711,-0.18763325,0.99958426,0.40009978,0.70862234,0.24319392,0.99942076,0.43450877,0.71941286,-0.15342167,0.9996486,0.31319416,0.83794695,0.3803054,0.9993563,0.41962117,0.88200855,-0.09136347,0.999134,0.2776825,0.8594131,0.3885268,0.9986541,0.39394096,0.9128769,-0.09063415,0.9984022,0.38212946,0.8700807,0.31426913,0.99862766,0.50789577,0.9205322,-0.23669635,0.9975561
0.47243997,0.32497525,-0.09376098,0.999956,0.4733145,0.3084536,-0.06319252,0.99992967,0.47293103,0.30822206,-0.06315936,0.99992037,0.4722618,0.30793387,-0.062993586,0.99990535,0.46789992,0.30693173,-0.1196215,0.99994266,0.46376598,0.30559784,-0.1196215,0.9999435,0.45870203,0.3040508,-0.119356275,0.99994075,0.44758844,0.30570817,0.083284155,0.9999076,0.4331262,0.3018361,-0.1702816,0.99995315,0.46011597,0.3369856,-0.032955594,0.9998623,0.45357716,0.33462995,-0.10669125,0.9999001,0.39841196,0.37213716,0.27319324,0.99983776,0.37082607,0.36119932,-0.30263445,0.9999683,0.40059677,0.47470695,0.34745938,0.9996724,0.3798938,0.4606315,-0.43021306,0.99981624,0.4342155,0.55289406,0.24189538,0.99948466,0.44977725,0.53424406,-0.48644316,0.99974686,0.4468106,0.57862186,0.23831469,0.99923277,0.46118677,0.55855036,-0.54320365,0.99957114,0.45395476,0.575563,0.19030693,0.99928194,0.471623,0.55276114,-0.53418565,0.9995908,0.45141596,0.5650261,0.21696319,0.9993687,0.4673438,0.5459547,-0.48087317,0.99965537,0.4049952,0.5661247,0.18102367,0.99926203,0.40704626,0.56802183,-0.18089105,0.99947053,0.38105255,0.7085132,0.18367603,0.99944717,0.44989592,0.7178586,-0.16776186,0.99954176,0.3005116,0.8457248,0.2750499,0.99869555,0.42018032,0.8819574,-0.14296229,0.9979888,0.27045017,0.87227654,0.27796748,0.99701905,0.39274913,0.9128996,-0.14574727,0.9962638,0.37510017,0.87018526,0.20290565,0.997358,0.50884235,0.9172854,-0.28008938,0.99491996
0.4703182,0.33479533,-0.051869746,0.99984396,0.47110632,0.3198803,-0.02875028,0.9997868,0.4702186,0.31974608,-0.028617792,0.9997713,0.46897614,0.31953275,-0.028551545,0.9997428,0.46672472,0.31801492,-0.087443255,0.9998134,0.46259797,0.31645495,-0.087443255,0.99981767,0.45833868,0.31486362,-0.087443255,0.99980897,0.444239,0.3169354,0.08538966,0.9997546,0.43264633,0.31258497,-0.17939116,0.9998535,0.45666492,0.3458824,-0.002343413,0.9997063,0.4512748,0.34363502,-0.079493865,0.99977654,0.39214665,0.37887725,0.25795758,0.99977833,0.36559403,0.369909,-0.3187704,0.99994934,0.38392073,0.47948086,0.33228436,0.99954873,0.36893556,0.46802893,-0.43006182,0.9997305,0.42411247,0.5606026,0.22894233,0.99940693,0.44799197,0.5360865,-0.45285,0.9996971,0.44011948,0.5807011,0.2241727,0.9991768,0.4575279,0.5603149,-0.5079658,0.9995363,0.44730365,0.57702154,0.1787287,0.9992175,0.46904585,0.55428326,-0.49498183,0.99955755,0.44414228,0.5666197,0.20363678,0.99929583,0.46565765,0.5475791,-0.44649056,0.99960643,0.39395747,0.5762286,0.17806625,0.99908185,0.3968417,0.57517004,-0.17793377,0.99924755,0.36622715,0.71304345,0.17660888,0.99929035,0.4688337,0.71917886,-0.16865948,0.99940693,0.29225057,0.85219854,0.26749685,0.998862,0.4256631,0.87490743,-0.13354969,0.9979966,0.2664418,0.87845767,0.27160403,0.99743915,0.39688092,0.90288645,-0.13460961,0.9966102,0.3617248,0.87729454,0.20270936,0.9976311,0.5088047,0.91653436,-0.25875252,0.9955662
0.47037378,0.34212542,-0.060002964,0.9997367,0.46960223,0.32643414,-0.037509907,0.9996345,0.46827126,0.32609898,-0.037381005,0.999617,0.46653897,0.32569024,-0.03734878,0.9995908,0.46690834,0.32455525,-0.09654611,0.9997017,0.46311796,0.32295722,-0.09654611,0.9997086,0.4587148,0.32149306,-0.09654611,0.99971753,0.4397297,0.322401,0.07566431,0.9996673,0.43237266,0.31990153,-0.19154543,0.99982053,0.45448977,0.3531035,-0.010795377,0.9996458,0.45053515,0.35109013,-0.087974265,0.9997284,0.37952924,0.38101274,0.24993713,0.99984527,0.36906576,0.37558734,-0.32482806,0.9999577,0.37513393,0.482376,0.31245366,0.9994116,0.3617047,0.47363025,-0.41480026,0.9996499,0.41095746,0.5582654,0.19683033,0.99909604,0.43761075,0.54187757,-0.38257527,0.99937373,0.42539725,0.5814885,0.18832293,0.998884,0.447487,0.5649792,-0.42820588,0.9991374,0.4324727,0.5747011,0.14759052,0.9989141,0.4571848,0.55836064,-0.41918287,0.9991374,0.42406932,0.57000595,0.17375723,0.99895155,0.45347065,0.5521615,-0.37458345,0.9992175,0.37588942,0.5852019,0.18600273,0.99906737,0.39310354,0.5871181,-0.18587384,0.99923575,0.3473722,0.7209661,0.19463903,0.9995005,0.5009737,0.70642436,-0.18896744,0.99945575,0.287286,0.85618025,0.27481484,0.9985896,0.43880495,0.8620174,-0.10589137,0.997783,0.25979838,0.88481444,0.27661943,0.9966756,0.4030344,0.88771635,-0.10047757,0.9965166,0.3588716,0.8823484,0.20881803,0.99632156,0.5076067,0.91695523,-0.18561603,0.994615
0.46967486,0.34379703,-0.09426572,0.99974877,0.46964133,0.3292637,-0.06554859,0.99962294,0.46878898,0.32889694,-0.06554859,0.99957937,0.46773562,0.32842204,-0.065421805,0.9995327,0.4657535,0.32737464,-0.12196856,0.99971753,0.46184587,0.32557687,-0.12209535,0.9997305,0.45668337,0.3238833,-0.12184177,0.9997367,0.44347337,0.3250663,0.073853105,0.9996288,0.4302122,0.3216114,-0.17902246,0.99983656,0.45512453,0.35472667,-0.035943955,0.9995197,0.4492515,0.35303378,-0.1094167,0.9996594,0.38468608,0.3835515,0.26067293,0.99979013,0.37211156,0.37853107,-0.30327317,0.99994695,0.3785478,0.484355,0.31392324,0.9991959,0.35934365,0.47486874,-0.38568437,0.99947864,0.40609828,0.550691,0.18992609,0.9983516,0.43206868,0.53803056,-0.349677,0.9986646,0.411947,0.5724569,0.17889567,0.99793327,0.4440509,0.55931807,-0.39126295,0.9982039,0.4185816,0.570728,0.14276153,0.9980122,0.45475754,0.554211,-0.38517722,0.99823856,0.41705987,0.55834097,0.16811882,0.997981,0.45073318,0.54629683,-0.3423234,0.998345,0.37720537,0.58895236,0.18257248,0.9986594,0.39642587,0.5868124,-0.18257248,0.99893504,0.3382036,0.7196195,0.18650286,0.99918956,0.5126225,0.69585353,-0.17851532,0.9989183,0.28556138,0.85673827,0.24850143,0.99690056,0.46513727,0.85111135,-0.09781574,0.99420255,0.264867,0.88175446,0.2496425,0.99253935,0.44078887,0.8711679,-0.09230053,0.9911527,0.35904145,0.8780267,0.18777072,0.99279517,0.5340391,0.9057081,-0.16799204,0.987375
0.47361952,0.34364402,-0.094641894,0.9998104,0.4737099,0.32877913,-0.06864826,0.9997198,0.47263357,0.3285351,-0.06864826,0.9996898,0.4713816,0.32824832,-0.068397716,0.99966466,0.4702002,0.32716733,-0.12815176,0.99979657,0.466735,0.32569933,-0.12827703,0.99980587,0.46261576,0.32420877,-0.1282144,0.9998191,0.44665903,0.32547182,0.06507804,0.9997367,0.43523452,0.32216498,-0.20444152,0.99988854,0.45907015,0.35476863,-0.03733062,0.99967754,0.4532132,0.35319886,-0.11518625,0.9997695,0.38377213,0.3821378,0.25329703,0.99986553,0.3767242,0.3783379,-0.33071423,0.9999635,0.37723583,0.479823,0.30465797,0.9993881,0.35998017,0.4732622,-0.41489604,0.99963593,0.40700108,0.54528433,0.17537875,0.9987257,0.43585178,0.53533715,-0.3567705,0.9990452,0.4113601,0.57218385,0.1619748,0.9984269,0.44866434,0.5548018,-0.39810976,0.9987056,0.42660305,0.5672486,0.12727487,0.99847525,0.45818773,0.55200565,-0.39084408,0.9987306,0.41769788,0.5558874,0.15358168,0.998487,0.45219782,0.5445739,-0.34850264,0.9988305,0.37557688,0.5900968,0.1900354,0.99918646,0.39883482,0.5865992,-0.1905365,0.9994093,0.33525288,0.7233048,0.2177202,0.9995308,0.518733,0.6919542,-0.16736144,0.9994967,0.2845797,0.8574295,0.29162982,0.9984145,0.5073397,0.8537657,-0.06360612,0.99668854,0.26491994,0.88402915,0.29288253,0.99633574,0.48428142,0.8793507,-0.05649702,0.9948001,0.3596453,0.8802368,0.22724074,0.9956346,0.58652544,0.8966364,-0.13529219,0.990732
0.47892702,0.34349874,-0.09608659,0.99984276,0.47842586,0.32881388,-0.06932275,0.9997527,0.47740304,0.32862836,-0.06932275,0.9997241,0.47610697,0.32842356,-0.06919739,0.9996947,0.47486842,0.3270328,-0.12987046,0.9998148,0.4711042,0.32555753,-0.12987046,0.9998233,0.4671122,0.32402697,-0.12999582,0.99984396,0.4515594,0.32554692,0.06493523,0.9997508,0.43955004,0.32234514,-0.20909646,0.99989843,0.46423373,0.35455173,-0.038610138,0.9997131,0.45810026,0.3529593,-0.118149534,0.999795,0.38488916,0.3832649,0.25347304,0.9998579,0.38241813,0.3801733,-0.33620906,0.99996233,0.37789124,0.4804757,0.30812895,0.9994023,0.36580396,0.47452974,-0.42245507,0.9996923,0.40578485,0.5453453,0.17963743,0.9988883,0.43924612,0.53743994,-0.36905274,0.9992563,0.40946394,0.57276875,0.16634952,0.9986223,0.45055902,0.5563824,-0.4144322,0.99899167,0.4245881,0.5681528,0.13150011,0.9986594,0.46032557,0.5535107,-0.40590787,0.99899167,0.41484103,0.55637765,0.15795057,0.9986853,0.45576042,0.54609,-0.36128056,0.9990996,0.37630436,0.5893317,0.19167176,0.9991928,0.4009514,0.5854603,-0.1915464,0.99943405,0.33847296,0.7233284,0.22576901,0.9995453,0.5202443,0.69334066,-0.17311883,0.9996402,0.2881114,0.858518,0.3071261,0.9986749,0.5283079,0.8552128,-0.076029375,0.9974788,0.2661603,0.88431764,0.30963326,0.99694854,0.5077645,0.8793536,-0.0697615,0.9957848,0.3572733,0.8780392,0.24319373,0.99629277,0.61137724,0.8876924,-0.1536884,0.99184376
0.488411,0.34240657,-0.13755858,0.9999528,0.48739755,0.32814902,-0.10379307,0.9999118,0.48695982,0.32817164,-0.103730656,0.9998876,0.4864139,0.32818097,-0.10366824,0.99986446,0.48201323,0.3260474,-0.16127558,0.9999443,0.47822168,0.32447207,-0.16152523,0.9999478,0.47352028,0.32289255,-0.16115075,0.99995124,0.46058935,0.3265187,0.05804423,0.9998579,0.44603696,0.32185256,-0.20334204,0.99996626,0.47398895,0.35444444,-0.07152547,0.9998287,0.4678167,0.35221165,-0.1471702,0.99991035,0.40475506,0.38963586,0.26138628,0.99979657,0.38355428,0.38143522,-0.31880638,0.99997556,0.39325592,0.48932582,0.32479802,0.99937373,0.36279023,0.48143843,-0.40543583,0.99980897,0.42664212,0.5553604,0.19360559,0.9990073,0.44439918,0.5415917,-0.38196847,0.9996923,0.43740988,0.58102417,0.18112296,0.9986853,0.45915127,0.5623328,-0.4309004,0.9995178,0.44553483,0.57292205,0.14492333,0.99877447,0.470585,0.5564151,-0.4224122,0.9995609,0.44432622,0.5669457,0.17126168,0.99884856,0.46465123,0.5483646,-0.3744789,0.99961555,0.39155325,0.58873093,0.18361948,0.99928755,0.40697458,0.5861762,-0.18336983,0.9995695,0.34148026,0.72425836,0.20721166,0.9996259,0.51778406,0.70103407,-0.16452107,0.9998191,0.2897413,0.85945344,0.27836266,0.9991541,0.56199694,0.8579668,-0.09917449,0.99813974,0.26603574,0.8849307,0.28085917,0.99797314,0.5496042,0.8892863,-0.09761417,0.9965436,0.359489,0.8813549,0.20733649,0.9975656,0.66179883,0.87499064,-0.20483996,0.9928786
