x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0.5223861,0.36539033,-0.22694667,0.9999502,0.52227855,0.35295144,-0.18372446,0.99989104,0.52427256,0.35336858,-0.18372446,0.9998727,0.5263382,0.35377002,-0.18420604,0.99985576,0.5123746,0.3509982,-0.23585598,0.9999324,0.5062333,0.3499002,-0.23609678,0.9999286,0.50058776,0.3489258,-0.23573558,0.999928,0.5118009,0.35729867,0.025222985,0.9998287,0.48063123,0.35263664,-0.20684052,0.99993134,0.5188309,0.37891725,-0.14459573,0.9997305,0.50682914,0.3768507,-0.21249913,0.9998523,0.4908702,0.43174875,0.26631618,0.99955577,0.4385522,0.42025802,-0.3190497,0.99991584,0.48149648,0.5166308,0.4201824,0.99937856,0.44112384,0.51346934,-0.48399237,0.9997017,0.5307739,0.52315605,0.40886518,0.9984633,0.5315229,0.5006577,-0.56441694,0.99983525,0.54497004,0.5358775,0.42764696,0.9980732,0.553891,0.5000285,-0.6173912,0.9997868,0.5493439,0.5367378,0.38430437,0.9980732,0.5515432,0.48821047,-0.60390687,0.9997851,0.54214317,0.5217193,0.38815704,0.9980732,0.5442217,0.48932302,-0.5600827,0.99983,0.5015131,0.62704754,0.16458148,0.9995103,0.43690595,0.6314955,-0.16482227,0.99960643,0.6202562,0.7174474,0.17156446,0.9993687,0.37108648,0.7565833,-0.23067896,0.9994684,0.6880613,0.8515329,0.30074948,0.99852777,0.24282148,0.8638248,-0.16000643,0.997851,0.6743439,0.87773323,0.3086956,0.99749833,0.20814002,0.8839166,-0.15579256,0.9965301,0.7793581,0.866641,0.21695378,0.995037,0.29939044,0.9075587,-0.3062877,0.99457306
0.52471524,0.3692594,-0.21332969,0.9999739,0.52458787,0.35698056,-0.17022912,0.9999398,0.52658975,0.35740855,-0.17047058,0.9999269,0.5286209,0.35787383,-0.17047058,0.9999138,0.5148097,0.35518333,-0.22178079,0.9999596,0.50903255,0.354368,-0.22226371,0.9999573,0.5030854,0.35351676,-0.22190152,0.99995637,0.5136506,0.36118224,0.042346004,0.9999001,0.48267093,0.35629913,-0.18833861,0.99995863,0.5212605,0.3826288,-0.13087119,0.99986553,0.509586,0.380812,-0.19739334,0.99992454,0.49250036,0.437387,0.28468105,0.9997677,0.4437587,0.42504117,-0.29554674,0.9999453,0.48276603,0.52522254,0.41313764,0.9996567,0.449273,0.5222595,-0.43897384,0.9997851,0.5338155,0.52384084,0.3696749,0.9992175,0.53636664,0.5060424,-0.5012705,0.99985576,0.5514603,0.5215928,0.3815064,0.99899167,0.5570978,0.5040909,-0.5529428,0.9998029,0.5567345,0.5090901,0.33997533,0.99901116,0.55417657,0.49166784,-0.5423186,0.99980134,0.5499153,0.51052237,0.34890935,0.9990452,0.54701674,0.49283287,-0.4954754,0.9998523,0.5014983,0.6309168,0.16829745,0.99973875,0.4416907,0.6346921,-0.16841818,0.9997086,0.6224134,0.7136509,0.117772,0.9997546,0.38655612,0.7611092,-0.23940736,0.9997347,0.6891992,0.8513025,0.2105529,0.9991204,0.24499816,0.86449987,-0.17795584,0.99823856,0.6756766,0.8789972,0.2153821,0.9984022,0.20817262,0.8799314,-0.17481686,0.9971661,0.7807604,0.869018,0.12459323,0.99644804,0.29817373,0.90832293,-0.31534645,0.99568534
0.52658874,0.37383035,-0.2246898,0.9999076,0.52620006,0.36160758,-0.18326187,0.99980897,0.5281084,0.3619892,-0.1830231,0.999764,0.5300268,0.3624028,-0.18314248,0.9997347,0.51663196,0.35988936,-0.2365093,0.9998746,0.5107591,0.35900944,-0.23674808,0.9998785,0.50502956,0.3581043,-0.23638994,0.9998746,0.5150056,0.36600992,0.023071894,0.99968004,0.48498213,0.36147448,-0.21430299,0.9998876,0.5229511,0.38732383,-0.1435054,0.99954873,0.51178473,0.38572976,-0.21239276,0.9997527,0.4916125,0.44123876,0.26934123,0.99939764,0.44757304,0.43163064,-0.32330498,0.99988675,0.48281226,0.52921605,0.4111752,0.99937856,0.45469195,0.52837163,-0.4579756,0.99963593,0.5345252,0.5778283,0.37965655,0.99773055,0.5422707,0.5113762,-0.5071638,0.99979657,0.549945,0.5927767,0.394222,0.9970421,0.56071746,0.508503,-0.5596949,0.9997305,0.55752814,0.5864782,0.3486154,0.9969126,0.5585195,0.49649298,-0.5468009,0.9997284,0.5498371,0.5810552,0.3574502,0.9969957,0.54906267,0.498178,-0.500478,0.99978846,0.5051187,0.6368598,0.17132299,0.99968743,0.44687855,0.64066255,-0.1712036,0.9996947,0.63174117,0.71532696,0.10362952,0.99945575,0.399579,0.77312243,-0.22839086,0.99939287,0.6874114,0.84805304,0.21501932,0.99852777,0.24615067,0.8617237,-0.13013384,0.99701905,0.67296463,0.87779087,0.22098875,0.99740905,0.20881656,0.8747187,-0.12285112,0.99575186,0.7779358,0.8696525,0.13371551,0.99424744,0.29762745,0.91042906,-0.25740236,0.99351174
0.52925766,0.38009536,-0.14367113,0.9999138,0.5284227,0.36726722,-0.10861633,0.9998104,0.5302057,0.36749804,-0.108794875,0.9997818,0.5319307,0.36771953,-0.10873536,0.9997584,0.51900667,0.36572087,-0.16343036,0.99986017,0.51317847,0.36486492,-0.16366842,0.99986017,0.5073833,0.3639971,-0.16295424,0.9998591,0.51540244,0.370712,0.068205096,0.9997305,0.48700517,0.36764833,-0.17557159,0.9998795,0.52499,0.39344943,-0.07368055,0.9996402,0.51427686,0.3920377,-0.14450434,0.9997981,0.49043566,0.4454765,0.29662672,0.9995122,0.45012066,0.43844882,-0.29305577,0.9998822,0.4863267,0.531129,0.4351795,0.99961996,0.4567728,0.5379926,-0.35138124,0.99961996,0.5428693,0.5317773,0.4158964,0.99893504,0.54813206,0.5162369,-0.26163143,0.99980134,0.5634279,0.5294981,0.43279886,0.9986223,0.57064545,0.5129865,-0.2882945,0.99971753,0.5597174,0.5289768,0.39351845,0.9985392,0.56670845,0.5011685,-0.2773436,0.9997305,0.5554154,0.51988614,0.39613715,0.99861145,0.5576422,0.50293046,-0.25068054,0.999795,0.5099416,0.6439565,0.17021516,0.9996971,0.4542364,0.64832187,-0.17045324,0.9995592,0.643618,0.71333236,0.035560686,0.999617,0.41196105,0.78190154,-0.22961193,0.9993013,0.6904663,0.85084176,0.08052487,0.9987453,0.24762917,0.8596068,-0.14307597,0.9961004,0.673357,0.8764328,0.079989225,0.99749833,0.21269771,0.86669546,-0.13593407,0.9946359,0.77945626,0.87323576,-0.005215071,0.9930153,0.29737133,0.90841526,-0.24425282,0.9916842
0.5313257,0.3874157,-0.14398505,0.99994695,0.53094274,0.37392712,-0.10944528,0.99987364,0.53316396,0.37411487,-0.10938583,0.9998523,0.5351895,0.37430525,-0.10926694,0.99983394,0.52069306,0.37225688,-0.16324647,0.9999125,0.5146725,0.37137082,-0.16324647,0.9999083,0.5088158,0.37052786,-0.16300867,0.99990463,0.5193766,0.37742174,0.07056575,0.9998074,0.48941252,0.37420896,-0.16978584,0.99992967,0.5276788,0.40075094,-0.072884254,0.9997851,0.51647806,0.39920104,-0.14255828,0.99989283,0.49185303,0.4505602,0.29629293,0.99962294,0.45722187,0.4447692,-0.2825008,0.9999473,0.48866314,0.5377491,0.35693073,0.99947256,0.46126673,0.5487144,-0.28678113,0.9995609,0.54525477,0.5301622,0.2325638,0.99862766,0.55217665,0.52023464,-0.116816945,0.9997749,0.5626374,0.53856766,0.2325638,0.9982993,0.57441556,0.5174162,-0.13078742,0.99968004,0.5603368,0.5262899,0.19986694,0.9983321,0.56958336,0.5039326,-0.12294017,0.99970406,0.5552279,0.52728146,0.21235119,0.9983516,0.5608838,0.5065343,-0.10486773,0.9997818,0.5145817,0.6485742,0.17026143,0.99949074,0.46062243,0.65443444,-0.17038032,0.9995122,0.6480811,0.71146625,0.119194895,0.9995592,0.42902657,0.7959616,-0.28559214,0.99959236,0.6911677,0.8472343,0.19570552,0.99823856,0.25265104,0.8554773,-0.22899686,0.9965837,0.6737962,0.8765412,0.19879687,0.9965837,0.21808335,0.8587183,-0.22269529,0.9949397,0.7782575,0.8721474,0.1464819,0.9905874,0.28911722,0.9100614,-0.30437797,0.98926485
0.53337795,0.3899542,-0.121132344,0.9999784,0.53199196,0.375193,-0.08795107,0.9999435,0.5337638,0.3754793,-0.088010214,0.9999329,0.5354107,0.3758447,-0.08812851,0.9999263,0.5231367,0.37366188,-0.14561905,0.99995565,0.5172678,0.37294894,-0.14526418,0.99995315,0.51143426,0.37261727,-0.14550076,0.9999509,0.518358,0.3797765,0.08753704,0.999928,0.49124065,0.37707484,-0.16667525,0.9999678,0.52915144,0.40358365,-0.05110271,0.99994266,0.5189032,0.4019002,-0.124681145,0.99996877,0.49363342,0.4551337,0.31276748,0.999892,0.46018913,0.44973496,-0.28697956,0.99998116,0.49317488,0.541497,0.31655288,0.9997017,0.46758148,0.5499796,-0.26261112,0.99973875,0.5519704,0.52493036,0.120659165,0.9994642,0.5528302,0.52297163,-0.033624873,0.99984765,0.57271266,0.5260533,0.111432284,0.9993487,0.57625747,0.5179827,-0.03939167,0.9997731,0.5763936,0.51587665,0.083751656,0.9993905,0.5697136,0.5060521,-0.03324042,0.9998029,0.5637679,0.5183298,0.10037187,0.99940693,0.56326854,0.5083704,-0.019888062,0.9998591,0.51119405,0.65215576,0.17850459,0.9996699,0.46376958,0.66002595,-0.1783863,0.99966335,0.65031207,0.7108532,0.1358007,0.9997241,0.43477145,0.80135804,-0.2914747,0.99971753,0.6903334,0.849336,0.2122182,0.9986749,0.25469238,0.854097,-0.24084517,0.99750805,0.673664,0.8785729,0.21541211,0.9975177,0.22043338,0.8553385,-0.23386584,0.99648935,0.77877074,0.8745156,0.17176187,0.99338466,0.2873002,0.90828794,-0.30093816,0.99273914
0.5394648,0.3966571,-0.12535854,0.99998057,0.53756905,0.38275692,-0.091814406,0.9999509,0.53935736,0.38280317,-0.092231475,0.9999461,0.54088193,0.38288766,-0.092052735,0.9999417,0.5274503,0.38155654,-0.14728437,0.99996233,0.5215448,0.38096333,-0.14752269,0.99996054,0.5150719,0.38042295,-0.14728437,0.99995863,0.5234767,0.38673714,0.08502217,0.9999398,0.49489763,0.3851535,-0.16265628,0.99996996,0.5353799,0.41007522,-0.05463583,0.9999329,0.52467036,0.40941465,-0.12631184,0.99996233,0.49638563,0.46347883,0.31601793,0.9998727,0.46649694,0.45837107,-0.28575075,0.999977,0.4937981,0.5561595,0.3431869,0.99968004,0.47722897,0.56191415,-0.26620817,0.99970406,0.5453697,0.54406166,0.18434379,0.9993068,0.5646198,0.52817553,-0.05293777,0.99984646,0.5687224,0.5497663,0.18267551,0.99918324,0.58358216,0.5221224,-0.06113016,0.99979013,0.56637144,0.538776,0.15085924,0.99922967,0.5789037,0.5110487,-0.05249091,0.99981767,0.5553016,0.54151964,0.16408622,0.9992563,0.57030517,0.5150446,-0.038697895,0.9998623,0.5136424,0.66213995,0.18160306,0.99967754,0.46247095,0.6726587,-0.18136473,0.9996526,0.65720415,0.7078782,0.14740354,0.9997198,0.44239613,0.8124542,-0.31053647,0.9997063,0.69065714,0.85145533,0.22080739,0.9986802,0.2589671,0.8508612,-0.22521639,0.99790895,0.67469054,0.87720454,0.22462058,0.9975656,0.22230098,0.8505051,-0.21318102,0.99718815,0.781939,0.8761995,0.18815698,0.99317604,0.28775865,0.9087563,-0.2607267,0.993807
0.54401505,0.4049478,-0.11076669,0.99997723,0.54216903,0.3905854,-0.08070909,0.9999461,0.5438233,0.39070976,-0.08070909,0.9999374,0.5451724,0.39087078,-0.080768615,0.99993074,0.53250176,0.38919303,-0.13618171,0.9999567,0.5267538,0.388392,-0.13606268,0.99995244,0.5206505,0.38788083,-0.13618171,0.99995124,0.52688247,0.39473388,0.08463741,0.9999324,0.5004448,0.39241588,-0.1617753,0.99996674,0.53898597,0.41858742,-0.044104308,0.999936,0.52926177,0.41747344,-0.11540924,0.99996436,0.49733794,0.47077388,0.30402806,0.99989843,0.47343343,0.46605006,-0.28926712,0.99998236,0.4857494,0.56582475,0.30283767,0.9997198,0.48000866,0.5716524,-0.26045945,0.99974686,0.5431642,0.56668174,0.112016596,0.99942964,0.56454295,0.53656775,-0.039372467,0.99987173,0.5591603,0.56485486,0.10386237,0.99936384,0.5846443,0.531867,-0.047407664,0.999826,0.55805266,0.55269706,0.07309054,0.9994093,0.5806481,0.52101153,-0.03990815,0.9998523,0.5553726,0.55304396,0.09106557,0.9994253,0.5716963,0.52359647,-0.025295991,0.99989104,0.51253253,0.66992867,0.18165499,0.9997565,0.46537766,0.67937714,-0.18153594,0.99973255,0.65911937,0.7093551,0.17629819,0.99979013,0.4489879,0.8211364,-0.30045688,0.99979657,0.6909175,0.84984,0.24022263,0.99894744,0.26424003,0.8491995,-0.18594043,0.9984812,0.67357755,0.87661815,0.24200824,0.9980957,0.22572947,0.8447571,-0.17058426,0.99792516,0.77776587,0.8716681,0.21403386,0.99477994,0.28446805,0.9068855,-0.20415354,0.9956006
0.5498593,0.40890905,-0.08245726,0.99998057,0.54578424,0.39456514,-0.057660766,0.9999509,0.5466007,0.39457372,-0.0576311,0.9999465,0.5472631,0.39468086,-0.05774974,0.9999443,0.5378216,0.39433897,-0.1106351,0.99995863,0.53273183,0.39407653,-0.11057578,0.9999573,0.5273419,0.39398476,-0.11051646,0.999956,0.5281915,0.39992216,0.086847074,0.99994934,0.50642246,0.3987634,-0.14889765,0.99997306,0.54389703,0.42313778,-0.023728708,0.9999627,0.53591543,0.42277333,-0.09159281,0.9999784,0.504125,0.47911656,0.28165975,0.99993074,0.47732306,0.47513482,-0.27833775,0.99998736,0.49091545,0.57406664,0.23123628,0.99971753,0.4806598,0.5803892,-0.2391854,0.99968255,0.551367,0.5662933,-0.0039078216,0.9994684,0.56614566,0.5448902,1.038131E-4,0.9998579,0.5746613,0.57290006,-0.021667277,0.9994429,0.5882236,0.5411364,-0.0033887562,0.99981767,0.57376295,0.5593313,-0.04988961,0.9994947,0.5840632,0.52998877,0.0063770902,0.99985576,0.561357,0.56158024,-0.024737177,0.99949265,0.574593,0.531996,0.01577959,0.99988854,0.5161679,0.6772485,0.17215177,0.9997731,0.4663552,0.68847793,-0.17179585,0.99974877,0.6642835,0.7104294,0.20288046,0.9998118,0.45542812,0.8340083,-0.29494783,0.9998535,0.6893958,0.8528484,0.2678971,0.9991204,0.27138472,0.84810966,-0.162423,0.99880743,0.67091227,0.8796826,0.27050728,0.9983707,0.23528464,0.83914685,-0.1441519,0.998319,0.775453,0.8735648,0.25199887,0.99549675,0.2824316,0.90436083,-0.16325352,0.9961456
0.55010176,0.41458207,-0.1111013,0.99999213,0.547718,0.40035436,-0.084422566,0.99997663,0.5489138,0.40039703,-0.084482655,0.99997294,0.5502568,0.40049812,-0.084302396,0.9999707,0.53919256,0.39962995,-0.13579716,0.99998176,0.5339143,0.39928815,-0.13567698,0.9999802,0.5284399,0.39898518,-0.13579716,0.99998,0.53382045,0.4043127,0.069641106,0.99997354,0.5081672,0.40345144,-0.15814961,0.9999887,0.5455985,0.42855576,-0.049602013,0.999982,0.53524876,0.42750433,-0.11572802,0.99999,0.507167,0.48242405,0.27375746,0.9999443,0.4776813,0.47966325,-0.27856442,0.9999926,0.50241125,0.5736405,0.20874307,0.9997428,0.48012856,0.58552444,-0.22328417,0.99974686,0.5636125,0.5603401,-0.05032306,0.9995956,0.5706674,0.55091447,0.044194162,0.9999039,0.5823523,0.5551883,-0.07120337,0.99957615,0.5926846,0.54346573,0.046207085,0.9998766,0.5800019,0.54461896,-0.09517819,0.9996125,0.58790374,0.5333258,0.056421917,0.9999031,0.5747754,0.5470667,-0.07072268,0.9996288,0.5793631,0.5367581,0.060898416,0.99992514,0.51938283,0.6790648,0.1728109,0.9997818,0.47015652,0.693539,-0.1728109,0.99980897,0.66711116,0.71054226,0.22424558,0.99986756,0.45720822,0.83870435,-0.2989941,0.9999145,0.68961394,0.8487508,0.30860806,0.9994579,0.26905525,0.8458761,-0.16367763,0.99922967,0.67088604,0.8766273,0.3131747,0.9990188,0.23188601,0.8384985,-0.14456989,0.9988927,0.7767359,0.8742171,0.29731166,0.9970305,0.2897334,0.90773225,-0.16680217,0.9971661
