x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0.58044016,0.21918336,-0.275396,0.9999654,0.58561164,0.20330653,-0.23739107,0.99994075,0.58741796,0.20376468,-0.23739107,0.99992394,0.5888794,0.20425946,-0.23725134,0.99990976,0.57307243,0.19993895,-0.29621488,0.9999596,0.5669747,0.19783837,-0.29621488,0.99995804,0.5592175,0.19588646,-0.29677376,0.99995935,0.5684232,0.2037976,-0.020172652,0.99989283,0.53323126,0.1950189,-0.29062593,0.9999629,0.57210714,0.23411337,-0.18764932,0.9998894,0.5589494,0.22934824,-0.26603448,0.999944,0.5277411,0.2878595,0.2195064,0.9997998,0.46228683,0.27118695,-0.3778137,0.9999517,0.50444925,0.39649665,0.30543667,0.9994887,0.44513315,0.3866974,-0.5745451,0.9996971,0.5221102,0.4550157,0.15691005,0.9987005,0.55578834,0.35185182,-0.69023657,0.9999374,0.5632523,0.46455982,0.14740881,0.9984022,0.5768423,0.34658986,-0.75450957,0.99991655,0.56745523,0.456194,0.10521217,0.9983897,0.5726964,0.33115083,-0.7377427,0.99992096,0.5598392,0.45007083,0.13189945,0.9984633,0.564287,0.33416206,-0.682412,0.99994075,0.5241262,0.5098161,0.17744948,0.9997241,0.45825964,0.51208985,-0.17758921,0.99959236,0.6423347,0.6402172,0.14349654,0.9997408,0.41568232,0.66379434,-0.15970454,0.9997695,0.6712784,0.7965708,0.27930826,0.99950635,0.30175495,0.8046284,0.011745549,0.99871063,0.6508759,0.82706034,0.28517666,0.9989837,0.27000463,0.8266437,0.023176719,0.99760324,0.77302575,0.8282996,0.1502033,0.9972638,0.38299546,0.8517506,-0.16585238,0.9956346
0.5894727,0.22303186,-0.2537254,0.99996805,0.5935463,0.20637578,-0.21204595,0.9999417,0.5952806,0.20667106,-0.21204595,0.99992394,0.59708834,0.20699002,-0.21218628,0.9999039,0.58189005,0.20414361,-0.27379328,0.9999641,0.5757342,0.20247938,-0.2735126,0.99996114,0.56853074,0.20082578,-0.2730916,0.9999629,0.5773854,0.20702964,0.018839953,0.999884,0.54118717,0.19985531,-0.2576548,0.9999709,0.58129025,0.23747069,-0.16194642,0.9998894,0.5681349,0.2341101,-0.24179694,0.9999535,0.53518265,0.28914464,0.26607487,0.99974877,0.4731623,0.27767685,-0.34101367,0.99995804,0.52429366,0.39159778,0.3129467,0.9993687,0.45920548,0.39634535,-0.45440423,0.9997408,0.5566043,0.39470962,0.09767305,0.9987649,0.564732,0.35654497,-0.4473875,0.99991846,0.57609123,0.4293663,0.07865768,0.99860066,0.5832801,0.3487522,-0.49622405,0.99986863,0.58035296,0.41819528,0.04427564,0.9985619,0.5769021,0.33612525,-0.4883653,0.9998795,0.57423455,0.4162362,0.07325479,0.99863297,0.56913716,0.33839813,-0.44009006,0.9999145,0.53571737,0.5141167,0.17864625,0.99978346,0.47244495,0.51642394,-0.17808491,0.9996215,0.6589273,0.645854,0.11212754,0.99980897,0.4217223,0.6674123,-0.14594823,0.99981767,0.67046356,0.801179,0.22299205,0.99947864,0.3051665,0.8038143,0.029733445,0.9982317,0.64870805,0.83180237,0.22621976,0.998835,0.27262938,0.8260079,0.04083744,0.9968149,0.77176774,0.8323737,0.09451552,0.996597,0.3853774,0.8502594,-0.1397735,0.9943581
0.6004567,0.22563241,-0.2468198,0.99997437,0.60409176,0.2102434,-0.20521937,0.9999502,0.6057852,0.21070641,-0.2057759,0.99993443,0.6075916,0.21122724,-0.20563677,0.99991655,0.59250015,0.2072022,-0.26588082,0.99996734,0.58622885,0.20556329,-0.26643735,0.99996674,0.5789592,0.20384334,-0.2661591,0.999966,0.5879804,0.21150507,0.023443704,0.9999031,0.55208194,0.20341152,-0.24946326,0.9999759,0.5927178,0.24073006,-0.1568015,0.9999138,0.5798835,0.23662847,-0.2355501,0.9999658,0.54576784,0.29461658,0.26337644,0.99978846,0.488783,0.2817738,-0.33697715,0.99996996,0.5343557,0.39943326,0.26852432,0.99947256,0.4693197,0.40221408,-0.36146435,0.99978346,0.5665873,0.4021095,0.0040783,0.99895966,0.5777836,0.3620879,-0.20897593,0.99992216,0.58730996,0.4243517,-0.025321983,0.9988028,0.5951711,0.3547299,-0.23694141,0.9998579,0.5914286,0.4134784,-0.052313548,0.99879813,0.58788,0.34192276,-0.23318487,0.9998766,0.5675316,0.38711202,-0.018834965,0.99883956,0.58031964,0.34433585,-0.19826278,0.9999132,0.5459241,0.5178815,0.17808868,0.99981767,0.4835354,0.5206247,-0.17808868,0.9996971,0.6769977,0.64522916,0.042226493,0.99980587,0.43232155,0.6716595,-0.1510971,0.99980897,0.6731381,0.8025219,0.16431463,0.9994746,0.3046977,0.8063462,0.039513424,0.9975274,0.65098065,0.83195704,0.16876684,0.99879813,0.2730317,0.8271709,0.05290486,0.9957353,0.7667464,0.83179593,0.041774318,0.9961755,0.38121465,0.8497499,-0.11798375,0.99193794
0.611408,0.23262215,-0.24816269,0.99997497,0.615379,0.21668974,-0.2072613,0.9999502,0.6171864,0.21711412,-0.20684816,0.99993396,0.6191809,0.21763167,-0.20657273,0.99991775,0.6037921,0.21370882,-0.2673051,0.9999676,0.5975939,0.21224302,-0.2673051,0.9999678,0.5905272,0.21065083,-0.26744282,0.9999671,0.600103,0.21794638,0.020312985,0.9999076,0.56426513,0.21029902,-0.25312045,0.99997735,0.6032835,0.24798685,-0.15864785,0.99992454,0.5906463,0.24351908,-0.23687005,0.9999678,0.5547251,0.2994575,0.2616588,0.9998104,0.5016037,0.2888733,-0.33960557,0.99997354,0.5304423,0.40474746,0.27666974,0.99957615,0.4854468,0.40699703,-0.38119555,0.999826,0.5760969,0.40708935,0.024857584,0.9991672,0.5914449,0.36778113,-0.25422215,0.99992454,0.5817921,0.40668675,-0.002935054,0.999015,0.6098642,0.36274952,-0.28562123,0.99986446,0.58616674,0.39141035,-0.030899836,0.99903405,0.60334104,0.35015976,-0.28066346,0.9998832,0.57741785,0.3927351,0.001971048,0.9990601,0.59493244,0.35196495,-0.24375582,0.99991715,0.5582382,0.52432793,0.18026914,0.99986756,0.49990484,0.52847975,-0.1799937,0.9997713,0.6904218,0.6452757,0.027784029,0.9998191,0.4452335,0.68007785,-0.13668229,0.999795,0.67654335,0.7996091,0.1418466,0.99940467,0.3074625,0.8032667,0.06723942,0.9969957,0.65039855,0.8277805,0.14652891,0.99861145,0.27504015,0.821813,0.0827668,0.9949397,0.7615212,0.83130497,0.023308288,0.99586606,0.37934983,0.8474531,-0.073746465,0.99128854
0.6254638,0.23751885,-0.26985082,0.99998534,0.6292413,0.22175312,-0.2228788,0.99996495,0.6315177,0.22211339,-0.2228788,0.9999535,0.6336916,0.22262503,-0.22355954,0.99993896,0.61766034,0.21932635,-0.2831936,0.9999794,0.6108607,0.21790348,-0.2837382,0.9999795,0.6035833,0.21648468,-0.2831936,0.99997926,0.61443424,0.22456573,0.019826954,0.99993074,0.5771466,0.21718726,-0.24779439,0.9999863,0.6187169,0.25218773,-0.17386451,0.9999385,0.60475224,0.24925493,-0.25174275,0.99997747,0.56916445,0.30701822,0.28264898,0.9998287,0.51832575,0.29800355,-0.34282762,0.9999852,0.5435248,0.41790035,0.30062088,0.99959236,0.5000728,0.41147372,-0.393748,0.99989104,0.5769809,0.43709528,0.056604676,0.99903405,0.60444486,0.37468433,-0.27379918,0.9999528,0.60022455,0.4514104,0.03519497,0.99890125,0.6210447,0.36676314,-0.3041608,0.99990976,0.6042177,0.44120818,0.010551684,0.9988796,0.61413246,0.35405326,-0.29898706,0.99992275,0.5966453,0.4382219,0.035739575,0.9989267,0.6065969,0.35797435,-0.26277098,0.9999461,0.5709691,0.53359574,0.19374253,0.99991906,0.51281893,0.5395924,-0.19333407,0.9998795,0.70957184,0.64661855,0.0024251854,0.99982053,0.46068552,0.6927576,-0.16133866,0.99980444,0.67714995,0.80030763,0.10524454,0.99942744,0.30596673,0.8012314,0.086591884,0.99696034,0.6530075,0.82858175,0.11021404,0.998606,0.26927426,0.81627077,0.10980559,0.9952077,0.7693649,0.8345263,-0.0028676754,0.9951137,0.37194133,0.8487966,-0.016746543,0.9906238
0.6384954,0.24739814,-0.26736513,0.99999356,0.6431381,0.23180062,-0.21856794,0.9999839,0.64555264,0.23221144,-0.21843201,0.999977,0.6480501,0.23277807,-0.2188398,0.9999702,0.63108754,0.22898602,-0.27973434,0.99999046,0.6244625,0.22730063,-0.2800062,0.99999046,0.6169743,0.22569585,-0.27973434,0.9999902,0.6292278,0.23392533,0.0351367,0.9999633,0.59103924,0.2258141,-0.23664601,0.9999938,0.63064486,0.2620417,-0.16800372,0.99997115,0.61660486,0.25853458,-0.24656858,0.9999901,0.58231133,0.31661507,0.30229795,0.9998785,0.53067434,0.3083229,-0.33192968,0.99999,0.56914407,0.4270743,0.2779673,0.9995592,0.5139461,0.4242841,-0.37515393,0.99987364,0.59363717,0.42679253,-0.02473841,0.99913067,0.6186383,0.38407257,-0.23134491,0.999949,0.61365914,0.4490179,-0.05321477,0.99906737,0.63739264,0.37772658,-0.25839406,0.99991107,0.6150729,0.43680698,-0.07360357,0.9991066,0.62777835,0.36409143,-0.25418037,0.99992335,0.60803616,0.4355688,-0.044957306,0.99909604,0.6220503,0.36801112,-0.21965535,0.9999453,0.5833732,0.54186565,0.2028006,0.99991584,0.5277552,0.5457897,-0.20307246,0.99988127,0.72456187,0.645711,0.032248285,0.99990237,0.48229307,0.7031931,-0.21109205,0.9999083,0.6807301,0.8044752,0.14666344,0.9996699,0.3131768,0.8006858,0.009599727,0.9985562,0.6564346,0.8305547,0.15359563,0.99922967,0.2747111,0.8111088,0.031024959,0.9976126,0.77076685,0.83374476,0.0579042,0.9968149,0.3704008,0.8489656,-0.081011504,0.99415743
0.6523201,0.25650644,-0.2578546,0.99999285,0.6566932,0.24090329,-0.21098429,0.9999814,0.6590126,0.24114873,-0.21139187,0.99997354,0.6613316,0.24157757,-0.21112014,0.99996734,0.64527977,0.23846601,-0.2723912,0.99998975,0.6386765,0.23700896,-0.2726629,0.9999894,0.6316114,0.2354683,-0.27211946,0.99998975,0.64229894,0.2427255,0.035458405,0.999959,0.60515314,0.23539256,-0.23489493,0.99999344,0.6440055,0.2707913,-0.16139688,0.9999654,0.6310461,0.2676704,-0.23937818,0.9999893,0.5938341,0.3237128,0.30486077,0.9998535,0.5465881,0.31736112,-0.33909646,0.9999931,0.56714004,0.43572414,0.2899166,0.9992563,0.5277931,0.43568954,-0.37767956,0.9998511,0.6016315,0.4535956,-0.0046530664,0.9982317,0.6329493,0.39432204,-0.24589927,0.9999355,0.6289691,0.48035717,-0.03328471,0.9981324,0.65250057,0.387874,-0.2775537,0.9998876,0.6313933,0.47083828,-0.061814453,0.9981828,0.6430566,0.37555084,-0.27171192,0.9999076,0.62388057,0.4671484,-0.029242996,0.998147,0.63697726,0.3778032,-0.23435153,0.9999335,0.599159,0.55279636,0.20704447,0.9997918,0.5454313,0.5601162,-0.20704447,0.99983394,0.74186087,0.6514005,0.13755415,0.99974483,0.4974447,0.72288644,-0.27008164,0.99985576,0.682253,0.8035181,0.31192526,0.9992986,0.31746885,0.7956337,-0.06775816,0.9979007,0.65327,0.82808113,0.32333717,0.9985335,0.27676177,0.7985793,-0.045851383,0.99668854,0.77303934,0.8334229,0.25758287,0.9946359,0.36581847,0.8480673,-0.13870893,0.9901782
0.6643231,0.26832476,-0.2630114,0.99999285,0.6689032,0.2529463,-0.2184448,0.99998224,0.6709452,0.25347587,-0.21871907,0.99997675,0.67309946,0.25406405,-0.21858193,0.99997246,0.65714395,0.24949668,-0.27850685,0.9999893,0.6507545,0.24784802,-0.27864397,0.9999887,0.6436021,0.24610423,-0.27809545,0.9999887,0.65368026,0.25442803,0.021511946,0.9999678,0.61741745,0.24519807,-0.24216792,0.9999926,0.65529966,0.2827086,-0.16935301,0.99997044,0.64233696,0.27843335,-0.24518473,0.9999895,0.6053685,0.33458966,0.28879142,0.9998952,0.55620825,0.33002812,-0.33980304,0.9999925,0.5812594,0.445566,0.2602688,0.99943846,0.54328775,0.44817436,-0.3554356,0.9998287,0.61690336,0.46413204,-0.04981172,0.9988213,0.6473706,0.4038355,-0.19088209,0.99992216,0.65111846,0.4862282,-0.07898569,0.9987056,0.6681253,0.3968282,-0.2140567,0.99987066,0.65505993,0.47728217,-0.10380585,0.99877447,0.657385,0.3833408,-0.2081602,0.99989104,0.64467186,0.4742859,-0.07226642,0.99877447,0.6505893,0.38699472,-0.17744355,0.99992216,0.60962796,0.56320566,0.20020679,0.9998795,0.5558471,0.57278407,-0.19993253,0.999884,0.75800717,0.6542511,0.17840344,0.9998313,0.51217675,0.73591256,-0.26232573,0.99989843,0.69048846,0.80346054,0.35845244,0.99949074,0.32050776,0.7899935,-0.05186864,0.9985392,0.6580731,0.8249979,0.37189096,0.99890554,0.2798821,0.7935698,-0.027237035,0.9976949,0.77757967,0.8343422,0.32279915,0.9956006,0.3679265,0.8485132,-0.10147467,0.9920312
0.6664309,0.27581355,-0.2738263,0.99999046,0.67371225,0.25929537,-0.22766191,0.99997604,0.6763317,0.26009133,-0.22779931,0.99996495,0.67867905,0.2609921,-0.22779931,0.99995804,0.65956193,0.25526512,-0.28687873,0.999987,0.65189266,0.25304845,-0.28715354,0.999987,0.64441085,0.2507234,-0.28660396,0.99998736,0.66085374,0.26220033,0.021828476,0.9999473,0.61887765,0.25212303,-0.2414013,0.99999285,0.6591824,0.28980112,-0.1751774,0.99996054,0.6440117,0.2858234,-0.2508815,0.99998915,0.6100883,0.33767986,0.299519,0.99983263,0.5654274,0.33405894,-0.33771452,0.99999356,0.5952522,0.4473073,0.23563078,0.99898773,0.5485874,0.45695457,-0.34266073,0.99978846,0.6290084,0.44500238,-0.12860082,0.99762183,0.64966136,0.41307738,-0.15140823,0.99991846,0.6633455,0.4711626,-0.16501023,0.99760324,0.6718197,0.40646324,-0.16981903,0.99986017,0.63605917,0.44688416,-0.18355843,0.99771273,0.6633233,0.3928347,-0.16377369,0.99988854,0.63554436,0.4448552,-0.15003428,0.9976949,0.6549117,0.39572266,-0.13670707,0.99992156,0.61242074,0.5676109,0.20787717,0.9998118,0.55677456,0.57516074,-0.20773977,0.99984276,0.7624579,0.65463763,0.17943661,0.99974686,0.51556057,0.7445908,-0.26942968,0.9998776,0.68533176,0.80301183,0.34375986,0.99924755,0.31885052,0.790411,-0.06254863,0.9977216,0.6547752,0.8295759,0.3569497,0.9984269,0.2788645,0.7916389,-0.038539026,0.9964619,0.7755822,0.8325234,0.30941135,0.9931496,0.3626384,0.8462372,-0.1125944,0.9878996
0.6782437,0.28673884,-0.25338158,0.9999931,0.6847038,0.2708749,-0.2111513,0.99998164,0.6868743,0.27128902,-0.2111513,0.9999733,0.6886365,0.27171513,-0.21128976,0.9999683,0.6716613,0.26746848,-0.26805833,0.9999895,0.66525793,0.26522213,-0.2677814,0.9999887,0.65764236,0.26320413,-0.26750448,0.9999893,0.6708675,0.27092412,0.028245816,0.9999629,0.63249266,0.26236725,-0.22485884,0.9999944,0.67065644,0.3011459,-0.15950577,0.99997497,0.65622044,0.297135,-0.23178186,0.99999285,0.6252227,0.3511591,0.2871658,0.99987364,0.5728202,0.3483037,-0.30765784,0.9999957,0.61355627,0.4640403,0.18027475,0.9990638,0.5541064,0.47294998,-0.27968895,0.9997981,0.64330035,0.46110436,-0.22873572,0.9978173,0.65696645,0.4224858,-0.06597613,0.99991846,0.6636678,0.4922171,-0.27276596,0.9978677,0.6784633,0.41502923,-0.07705292,0.9998623,0.6656084,0.4822818,-0.28965807,0.99801993,0.67145854,0.40095285,-0.07324527,0.99989367,0.64016193,0.46281287,-0.25005853,0.9980122,0.6627746,0.40279377,-0.05095323,0.99992394,0.6238228,0.5793348,0.19855145,0.9997998,0.56950086,0.5899279,-0.19882837,0.9998535,0.7752258,0.65936095,0.19273613,0.9997851,0.5340149,0.7524502,-0.2929811,0.99991655,0.68478364,0.8039692,0.35805723,0.9992417,0.3293841,0.781566,-0.07462987,0.99827933,0.65243626,0.8266636,0.36968786,0.9984452,0.2884084,0.7758118,-0.047976345,0.997358,0.7708594,0.8319851,0.33313444,0.9930962,0.36010578,0.84463406,-0.09671422,0.98955137
